+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  0 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  2 |     READY |   RUNNING |
|               100 |  2 |   RUNNING |TERMINATED |
|               100 |  0 |     READY |   RUNNING |
|               200 |  0 |   RUNNING |TERMINATED |
|               200 |  1 |     READY |   RUNNING |
|               300 |  1 |   RUNNING |TERMINATED |
|               300 | 10 |     READY |   RUNNING |
|               400 | 10 |   RUNNING |     READY |
|               400 | 10 |     READY |   RUNNING |
|               500 | 10 |   RUNNING |     READY |
|               500 | 10 |     READY |   RUNNING |
|               600 | 10 |   RUNNING |     READY |
|               600 | 10 |     READY |   RUNNING |
|               700 | 10 |   RUNNING |     READY |
|               700 | 10 |     READY |   RUNNING |
|               800 | 10 |   RUNNING |     READY |
|               800 | 10 |     READY |   RUNNING |
|               900 | 10 |   RUNNING |TERMINATED |
+------------------------------------------------+
